type,session_id,turn_id,role,message,intent_label,clean_text
chatlog,S00001,1,user,我的快递到哪了,地址修改,我的快递到哪了
chatlog,S00001,1,agent,感谢您的反馈！我已经帮您查询了，关于「我的快递到哪了」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「我的快递到哪了」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00001,2,user,包裹外包装有破损,物流查询,包裹外包装有破损
chatlog,S00001,2,agent,不客气呢，很高兴能帮到您！如后续还有疑问，随时联系我们哦~,,不客气呢，很高兴能帮到您！如后续还有疑问，随时联系我们哦~
chatlog,S00002,1,user,退货退款进度怎么这么慢,质量问题,退货退款进度怎么这么慢
chatlog,S00002,1,agent,感谢您的反馈！我已经帮您查询了，关于「退货退款进度怎么这么慢」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「退货退款进度怎么这么慢」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00002,2,user,说明书是坏的怎么看,投诉商家,说明书是坏的怎么看
chatlog,S00002,2,agent,好的，我已了解您的情况。根据平台售后政策，我已为您记录并转交相关部门处理。,,好的，我已了解您的情况。根据平台售后政策，我已为您记录并转交相关部门处理。
chatlog,S00002,3,user,用了一个月就坏了,投诉商家,用了一个月就坏了
chatlog,S00002,3,agent,亲，感谢您的耐心等待~ 关于您提到的用了一个月就坏了，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的用了一个月就坏了，我来帮您处理。
chatlog,S00002,4,user,功能不能正常使用,质量问题,功能不能正常使用
chatlog,S00002,4,agent,您好，非常抱歉给您带来不便。我已为您记录并转交相关部门处理，您看这样可以吗？,,您好，非常抱歉给您带来不便。我已为您记录并转交相关部门处理，您看这样可以吗？
chatlog,S00002,5,user,颜色和图片不一样,退换货,颜色和图片不一样
chatlog,S00002,5,agent,感谢您的反馈！我已经帮您查询了，关于「颜色和图片不一样」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「颜色和图片不一样」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00003,1,user,好评率多少,功能咨询,好评率多少
chatlog,S00003,2,user,支持花呗分期吗,功能咨询,支持花呗分期吗
chatlog,S00004,1,user,卖家不给退款怎么办,商品不符,卖家不给退款怎么办
chatlog,S00004,2,user,我要投诉商家,质量问题,我要投诉商家
chatlog,S00004,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计38分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计38分钟内给您答复。
chatlog,S00005,1,user,有赠品吗,促销询问,有赠品吗
chatlog,S00005,3,user,可以发一下详细参数吗,功能咨询,可以发一下详细参数吗
chatlog,S00006,1,user,快递放快递柜了我拿不到,异常件处理,快递放快递柜了我拿不到
chatlog,S00006,1,agent,亲，感谢您的耐心等待~ 关于您提到的快递放快递柜了我拿不到，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的快递放快递柜了我拿不到，我来帮您处理。
chatlog,S00006,2,user,可以指定周末配送吗,异常件处理,可以指定周末配送吗
chatlog,S00006,2,agent,感谢您的反馈！我已经帮您查询了，关于「可以指定周末配送吗」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「可以指定周末配送吗」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00006,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计33分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计33分钟内给您答复。
chatlog,S00006,4,user,我选了工作日配送怎么还没到,物流查询,我选了工作日配送怎么还没到
chatlog,S00007,1,user,配件少发了,投诉商家,配件少发了
chatlog,S00007,1,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计54分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计54分钟内给您答复。
chatlog,S00007,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计59分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计59分钟内给您答复。
chatlog,S00008,1,user,密码忘了怎么找回,优惠券查询,密码忘了怎么找回
chatlog,S00008,2,user,怎么注销账户,密码找回,怎么注销账户
chatlog,S00009,1,user,这是假货吧,退换货,这是假货吧
chatlog,S00009,1,agent,感谢您的反馈！我已经帮您查询了，关于「这是假货吧」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「这是假货吧」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00010,1,user,活动期间买的降价了能退差价吗,价格保护,活动期间买的降价了能退差价吗
chatlog,S00010,2,user,能价保吗,价格保护,能价保吗
chatlog,S00010,2,agent,感谢您的反馈！我已经帮您查询了，关于「能价保吗」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「能价保吗」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00010,3,user,优惠券为什么用不了,秒杀,优惠券为什么用不了
chatlog,S00010,4,user,预售商品什么时候发货,优惠券使用,预售商品什么时候发货
chatlog,S00010,4,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计23分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计23分钟内给您答复。
chatlog,S00010,5,user,怎么领这个活动的优惠券,秒杀,怎么领这个活动的优惠券
chatlog,S00010,5,agent,感谢您的反馈！我已经帮您查询了，关于「怎么领这个活动的优惠券」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「怎么领这个活动的优惠券」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00011,1,user,物流显示签收但我没收到,配送时效,物流显示签收但我没收到
chatlog,S00011,2,user,明天能送到吗,异常件处理,明天能送到吗
chatlog,S00011,3,user,可以改地址吗,地址修改,可以改地址吗
chatlog,S00011,4,user,快递员电话多少,物流查询,快递员电话多少
chatlog,S00011,4,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计37分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计37分钟内给您答复。
chatlog,S00011,5,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计26分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计26分钟内给您答复。
chatlog,S00012,1,user,账号被异地登录了,账户安全,账号被异地登录了
chatlog,S00012,1,agent,亲，感谢您的耐心等待~ 关于您提到的账号被异地登录了，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的账号被异地登录了，我来帮您处理。
chatlog,S00012,2,user,为什么我的账户被限制下单,密码找回,为什么我的账户被限制下单
chatlog,S00012,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计19分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计19分钟内给您答复。
chatlog,S00012,4,user,实名认证总是失败,密码找回,实名认证总是失败
chatlog,S00012,4,agent,亲，感谢您的耐心等待~ 关于您提到的实名认证总是失败，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的实名认证总是失败，我来帮您处理。
chatlog,S00012,5,user,我的积分怎么变少了,密码找回,我的积分怎么变少了
chatlog,S00012,5,agent,感谢您的反馈！我已经帮您查询了，关于「我的积分怎么变少了」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「我的积分怎么变少了」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00013,1,agent,感谢您的反馈！我已经帮您查询了，关于「账号被异地登录了」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「账号被异地登录了」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00013,2,user,手机号换了怎么绑定新号,实名认证,手机号换了怎么绑定新号
chatlog,S00014,1,user,和XX品牌比哪个好,比价,和XX品牌比哪个好
chatlog,S00014,3,agent,感谢您的反馈！我已经帮您查询了，关于「好评率多少」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「好评率多少」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00016,2,agent,感谢您的反馈！我已经帮您查询了，关于「明天能送到吗」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「明天能送到吗」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00017,1,agent,感谢您的反馈！我已经帮您查询了，关于「功能不能正常使用」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「功能不能正常使用」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00017,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计36分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计36分钟内给您答复。
chatlog,S00019,1,user,秒杀几点开始,价格保护,秒杀几点开始
chatlog,S00019,1,agent,亲，感谢您的耐心等待~ 关于您提到的秒杀几点开始，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的秒杀几点开始，我来帮您处理。
chatlog,S00019,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计25分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计25分钟内给您答复。
chatlog,S00019,3,user,满300减50可以用吗,价格保护,满300减50可以用吗
chatlog,S00019,4,user,618活动什么时候开始,秒杀,618活动什么时候开始
chatlog,S00019,4,agent,亲，感谢您的耐心等待~ 关于您提到的618活动什么时候开始，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的618活动什么时候开始，我来帮您处理。
chatlog,S00020,1,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计11分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计11分钟内给您答复。
chatlog,S00020,2,user,这款商品有优惠吗,比价,这款商品有优惠吗
chatlog,S00021,1,user,优惠券怎么不见了,实名认证,优惠券怎么不见了
chatlog,S00021,1,agent,亲，感谢您的耐心等待~ 关于您提到的优惠券怎么不见了，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的优惠券怎么不见了，我来帮您处理。
chatlog,S00023,1,user,我想了解一下这个产品的功能,比价,我想了解一下这个产品的功能
chatlog,S00023,2,agent,亲，感谢您的耐心等待~ 关于您提到的可以发一下详细参数吗，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的可以发一下详细参数吗，我来帮您处理。
chatlog,S00024,1,agent,亲，感谢您的耐心等待~ 关于您提到的密码忘了怎么找回，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的密码忘了怎么找回，我来帮您处理。
chatlog,S00024,3,agent,亲，感谢您的耐心等待~ 关于您提到的怎么注销账户，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的怎么注销账户，我来帮您处理。
chatlog,S00025,5,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计40分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计40分钟内给您答复。
chatlog,S00026,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计53分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计53分钟内给您答复。
chatlog,S00027,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计34分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计34分钟内给您答复。
chatlog,S00028,1,agent,亲，感谢您的耐心等待~ 关于您提到的卖家不给退款怎么办，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的卖家不给退款怎么办，我来帮您处理。
chatlog,S00028,2,agent,感谢您的反馈！我已经帮您查询了，关于「说明书是坏的怎么看」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「说明书是坏的怎么看」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00028,4,agent,亲，感谢您的耐心等待~ 关于您提到的这是假货吧，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的这是假货吧，我来帮您处理。
chatlog,S00030,2,user,现在下单什么时候能到,比价,现在下单什么时候能到
chatlog,S00030,2,agent,感谢您的反馈！我已经帮您查询了，关于「现在下单什么时候能到」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「现在下单什么时候能到」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00030,3,user,这款适合送人吗,比价,这款适合送人吗
chatlog,S00031,3,agent,感谢您的反馈！我已经帮您查询了，关于「卖家不给退款怎么办」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「卖家不给退款怎么办」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00032,1,user,能再便宜点吗,比价,能再便宜点吗
chatlog,S00032,1,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计27分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计27分钟内给您答复。
chatlog,S00032,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计60分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计60分钟内给您答复。
chatlog,S00034,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计42分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计42分钟内给您答复。
chatlog,S00035,1,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计21分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计21分钟内给您答复。
chatlog,S00035,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计56分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计56分钟内给您答复。
chatlog,S00035,5,agent,亲，感谢您的耐心等待~ 关于您提到的为什么我的账户被限制下单，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的为什么我的账户被限制下单，我来帮您处理。
chatlog,S00036,1,agent,感谢您的反馈！我已经帮您查询了，关于「快递员电话多少」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「快递员电话多少」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00036,2,agent,亲，感谢您的耐心等待~ 关于您提到的我的快递到哪了，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的我的快递到哪了，我来帮您处理。
chatlog,S00036,3,agent,感谢您的反馈！我已经帮您查询了，关于「可以改地址吗」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「可以改地址吗」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00036,4,user,为什么物流信息一直不更新,物流查询,为什么物流信息一直不更新
chatlog,S00036,4,agent,感谢您的反馈！我已经帮您查询了，关于「为什么物流信息一直不更新」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「为什么物流信息一直不更新」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00037,3,agent,感谢您的反馈！我已经帮您查询了，关于「秒杀几点开始」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「秒杀几点开始」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00037,5,agent,亲，感谢您的耐心等待~ 关于您提到的活动期间买的降价了能退差价吗，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的活动期间买的降价了能退差价吗，我来帮您处理。
chatlog,S00038,1,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计17分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计17分钟内给您答复。
chatlog,S00039,1,agent,感谢您的反馈！我已经帮您查询了，关于「这款商品有优惠吗」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「这款商品有优惠吗」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00039,3,agent,亲，感谢您的耐心等待~ 关于您提到的能再便宜点吗，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的能再便宜点吗，我来帮您处理。
chatlog,S00040,1,user,收到的商品有划痕,投诉商家,收到的商品有划痕
chatlog,S00040,1,agent,感谢您的反馈！我已经帮您查询了，关于「收到的商品有划痕」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「收到的商品有划痕」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00041,1,agent,感谢您的反馈！我已经帮您查询了，关于「配件少发了」的详细说明。请问还有其他可以帮您的吗？,,感谢您的反馈！我已经帮您查询了，关于「配件少发了」的详细说明。请问还有其他可以帮您的吗？
chatlog,S00042,2,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计31分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计31分钟内给您答复。
chatlog,S00042,3,agent,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计57分钟内给您答复。,,亲，您的问题我们已经记录下来了。我们会尽快核实情况，预计57分钟内给您答复。
chatlog,S00043,1,user,有没有使用教程,促销询问,有没有使用教程
chatlog,S00043,1,agent,亲，感谢您的耐心等待~ 关于您提到的有没有使用教程，我来帮您处理。,,亲，感谢您的耐心等待~ 关于您提到的有没有使用教程，我来帮您处理。
chatlog,S00043,2,user,和上一代有什么区别,比价,和上一代有什么区别
